,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
13,4,Current_position_5.0,0.637382846,-0.157027055,-0.056539661,0.018850084,0.027051778,0.106454297,-0.012124981,0.061216266,-0.07424228,0.002773996,0.129903539,0.06330199,0.026375441,-0.065850245,0.172008829,-0.167418411,501,579,30521.64318,0,37113.66441,0.178297005,0.177617094,0.049581432,0.177617094,0.050367197,0.305271069,93.21228827,513.1759685,47.39385586
14,4,Current_position_6.0,1.062101354,-0.223882909,-0.026871338,0.027719572,0.047344693,0.179403127,-0.037364771,0.140289662,-0.150718447,0.005778454,0.207541753,0.064005121,0.028995918,-0.100521026,0.077045674,-0.014379517,501,579,30521.64318,0,37113.66441,0.178297005,0.177617094,0.049581432,0.177617094,0.050367197,0.305271069,93.21228827,513.1759685,47.39385586
15,5,Current_position_4.0,0.029707733,-0.035779783,-0.000274097,-0.00367629,0.023973283,0.025842283,-0.0041972,0.028483047,0.010571814,-0.027247526,0.061538213,0.058529956,-0.000913321,0.05387332,0.060772796,0.014214375,501,579,31374.75299,0,38261.74304,0.180692527,0.179996767,0.052331593,0.179996767,0.053135674,0.309578195,90.56287891,510.5265592,48.71856054
16,5,Current_position_5.0,0.087723559,-0.096956629,0.015059733,-0.011398255,0.027213523,0.118800465,0.003699662,0.030386156,0.009576475,-0.021112882,0.005416992,0.167790601,-0.001377306,0.154937595,0.136135375,0.064488027,501,579,31374.75299,0,38261.74304,0.180692527,0.179996767,0.052331593,0.179996767,0.053135674,0.309578195,90.56287891,510.5265592,48.71856054
17,5,Current_position_6.0,0.140874535,-0.088110614,-0.001796377,-0.020652779,0.030326359,0.176996639,0.005608747,0.299362195,0.063984097,-0.041312632,0.252209627,0.133677531,-0.00167133,0.360487069,0.100065125,0.093136719,501,579,31374.75299,0,38261.74304,0.180692527,0.179996767,0.052331593,0.179996767,0.053135674,0.309578195,90.56287891,510.5265592,48.71856054
18,6,Current_position_4.0,0.159010666,0.007548567,0.007692851,-0.053397568,-0.081589384,0.042795229,-0.032257261,0.027172209,-0.001095595,-0.003616594,-0.016826625,0.151629137,0.041301385,-0.010800297,0.010706026,-0.065452338,501,579,31370.55485,0,37782.96053,0.170261595,0.169716867,0.040451229,0.169716867,0.041080766,0.309557146,90.5759166,510.5395969,48.7120417
19,6,Current_position_5.0,0.449187448,0.014547614,0.009371804,-0.131381122,-0.097702591,0.093391455,0.009887584,0.064518756,-0.001456039,0.001028549,-0.071885733,0.363185977,0.036578377,-0.028814521,0.025537197,-0.102153209,501,579,31370.55485,0,37782.96053,0.170261595,0.169716867,0.040451229,0.169716867,0.041080766,0.309557146,90.5759166,510.5395969,48.7120417
20,6,Current_position_6.0,0.629644196,0.009280047,-0.003376424,-0.161880332,-0.08282296,0.156667223,0.050248157,0.144633142,-0.004896911,-0.003599624,0.075424856,0.276203281,0.052254954,-0.037282601,0.016781197,0.041957422,501,579,31370.55485,0,37782.96053,0.170261595,0.169716867,0.040451229,0.169716867,0.041080766,0.309557146,90.5759166,510.5395969,48.7120417
21,7,Current_position_4.0,0.02461853,-0.007404567,-0.015477533,-0.047302331,-0.049169907,0.013300976,-0.018079105,0.052008854,-0.00094904,-0.001824728,0.015564242,0.094408636,-0.000622541,-0.036545299,0.051196949,0.106069567,501,579,31493.82349,0,37511.56844,0.16082675,0.160423709,0.029711233,0.160423709,0.030177022,0.310174594,90.19309474,510.156775,48.90345263
22,7,Current_position_5.0,0.076568516,-0.019000192,-0.022137631,-0.106039584,-0.063195167,0.058376977,-0.01111118,0.060916755,-7.08E-06,0.001673271,-0.009684859,0.243075534,-0.000926989,-0.058624164,0.100157917,0.119972562,501,579,31493.82349,0,37511.56844,0.16082675,0.160423709,0.029711233,0.160423709,0.030177022,0.310174594,90.19309474,510.156775,48.90345263
23,7,Current_position_6.0,0.125393273,-0.012587441,-0.02022838,-0.160650265,-0.046538803,0.104451368,-0.004831686,0.099943203,0.116369096,-0.002052509,0.086220169,0.215849588,-0.001235962,-0.095413565,0.032887321,0.195279154,501,579,31493.82349,0,37511.56844,0.16082675,0.160423709,0.029711233,0.160423709,0.030177022,0.310174594,90.19309474,510.156775,48.90345263
24,8,Current_position_4.0,0.028985148,-0.003330929,0.000116923,0.049045165,-0.036543009,-0.00280585,-0.058265024,0.031125541,0.013013668,-0.00344093,0.068955257,0.043796487,0.016510437,0.025512569,0.105292437,-0.159088493,501,579,32810.85921,0,38930.74464,0.157538738,0.157199291,0.025984809,0.157199291,0.026377104,0.316696441,86.10292172,506.066602,50.94853914
25,8,Current_position_5.0,0.074809009,-0.015073693,-4.64E-06,0.121137741,-0.043531716,0.022320283,-0.019708605,0.022147445,-0.00219203,-0.009550391,0.066224289,0.126185791,0.055343073,0.055770527,0.222815732,-0.146461269,501,579,32810.85921,0,38930.74464,0.157538738,0.157199291,0.025984809,0.157199291,0.026377104,0.316696441,86.10292172,506.066602,50.94853914
26,8,Current_position_6.0,0.099613779,-0.019431146,-0.000243195,0.184135418,-0.049333719,0.030122104,-0.021024337,0.196489414,-0.045129302,-0.01595404,0.080051339,0.115047079,0.055343054,0.091779696,0.179966594,-0.15769676,501,579,32810.85921,0,38930.74464,0.157538738,0.157199291,0.025984809,0.157199291,0.026377104,0.316696441,86.10292172,506.066602,50.94853914
27,9,Current_position_4.0,0.075452425,-0.033111636,-0.033464523,-0.004248722,0.00193959,-0.013828285,0.011006957,-0.001722964,0.001204319,0.009488964,0.035263216,0.08857182,0.029256296,0.100503875,0.035969411,0.000233916,501,579,31266.88133,0,37319.12995,0.16260826,0.162175502,0.031735759,0.162175502,0.032235894,0.309036894,90.89788406,510.8615643,48.55105797
28,9,Current_position_5.0,0.205209689,-0.060792845,-0.059658637,-0.007264144,0.005223745,0.061734637,0.002945441,-0.004463891,0.002395177,0.021202726,-0.052196908,0.232807937,0.031597859,0.234256799,0.069714176,0.010307116,501,579,31266.88133,0,37319.12995,0.16260826,0.162175502,0.031735759,0.162175502,0.032235894,0.309036894,90.89788406,510.8615643,48.55105797
29,9,Current_position_6.0,0.276202598,-0.092419437,-0.068666704,-0.00842171,0.002698509,0.088547502,0.006173176,-0.009709427,0.006401738,0.008120353,0.148337335,0.231123402,0.035318411,0.286065712,0.045299369,-0.037249135,501,579,31266.88133,0,37319.12995,0.16260826,0.162175502,0.031735759,0.162175502,0.032235894,0.309036894,90.89788406,510.8615643,48.55105797
30,10,Current_position_4.0,0.085727829,-0.067069926,-0.004854105,0.036742239,0.029206696,-0.077360476,0.013757803,0.024922919,0.019446698,-0.014860776,0.074537378,0.014350827,0.029775426,-0.014803263,0.050753544,-0.165539635,501,579,31010.3851,0,37140.68468,0.165536671,0.165056181,0.035064928,0.165056181,0.035620225,0.307745972,91.69445622,511.6581365,48.15277189
31,10,Current_position_5.0,0.23748606,-0.13746279,-0.004989781,0.058462346,0.068463072,0.027010019,-0.001066177,0.021762455,0.016197156,-0.002612215,0.036518048,0.028006414,0.033452445,-0.023498027,0.111495294,-0.145761568,501,579,31010.3851,0,37140.68468,0.165536671,0.165056181,0.035064928,0.165056181,0.035620225,0.307745972,91.69445622,511.6581365,48.15277189
32,10,Current_position_6.0,0.340805479,-0.149791642,-0.006320537,0.063045976,0.059443273,0.075775403,0.006201038,0.211518443,0.052834844,0.013659045,0.145018,0.025457097,0.039436589,-0.033575698,0.086018931,-0.30311832,501,579,31010.3851,0,37140.68468,0.165536671,0.165056181,0.035064928,0.165056181,0.035620225,0.307745972,91.69445622,511.6581365,48.15277189
33,11,Current_position_4.0,0.086189608,-0.027072238,-0.048360618,-0.128055187,0.000104042,0.002062168,-0.003052213,0.005737704,0.000499193,0.00037531,-0.013846728,0.022546184,0.017209506,0.075688259,0.040323545,-0.034517389,501,579,30679.25232,0,37125.96928,0.174261152,0.173644408,0.044990244,0.173644408,0.045703008,0.30607136,92.7228189,512.6864991,47.63859055
34,11,Current_position_5.0,0.245073447,-0.05270315,-0.030067773,-0.244176329,0.000224452,0.025734587,-0.000149383,-0.001801481,-0.017119281,0.000104539,-0.000704809,0.04891028,0.018221014,0.17985269,0.056527575,0.028166437,501,579,30679.25232,0,37125.96928,0.174261152,0.173644408,0.044990244,0.173644408,0.045703008,0.30607136,92.7228189,512.6864991,47.63859055
35,11,Current_position_6.0,0.374927985,-0.067008589,-0.034740442,-0.286218456,0.000532075,0.048689473,0.001012303,0.100496964,-0.03746285,-0.00030192,0.028912082,0.042838718,0.033178623,0.210941642,0.050284476,-0.152585441,501,579,30679.25232,0,37125.96928,0.174261152,0.173644408,0.044990244,0.173644408,0.045703008,0.30607136,92.7228189,512.6864991,47.63859055
36,12,Current_position_4.0,0.154678937,0.017394872,-0.015599169,-0.112765746,-0.039066599,-0.000929596,0.020233073,0.037115519,0.033825505,-8.86E-05,0.085620074,0.113066136,0.01769067,0.025707118,0.005069555,-0.192745592,501,579,31003.42182,0,37355.71621,0.170605074,0.170048791,0.040834831,0.170048791,0.04147772,0.307710851,91.7160813,511.6797616,48.14195935
37,12,Current_position_5.0,0.457414252,0.060269028,-0.015899787,-0.183669788,-0.088523072,0.097532425,-0.000537974,0.07656855,0.044368439,-9.57E-05,0.056121658,0.255007708,0.012633119,0.050347776,0.007510729,-0.155844047,501,579,31003.42182,0,37355.71621,0.170605074,0.170048791,0.040834831,0.170048791,0.04147772,0.307710851,91.7160813,511.6797616,48.14195935
38,12,Current_position_6.0,0.661337662,0.065413886,0.006338992,-0.208987772,-0.123110217,0.185532889,-0.024077491,0.171356533,0.104227763,-0.000138425,0.110843673,0.153487996,0.022647225,0.051459527,0.013939927,-0.130258451,501,579,31003.42182,0,37355.71621,0.170605074,0.170048791,0.040834831,0.170048791,0.04147772,0.307710851,91.7160813,511.6797616,48.14195935
39,13,Current_position_4.0,0.186226814,-0.005317853,0.004216535,-0.105355767,0.003993915,0.034724038,0.002838239,0.045846915,0.105359024,-0.021451287,-0.01024631,0.018941687,-0.019640389,0.001117491,0.023777621,-0.147428973,501,579,30472.23617,0,36718.89743,0.1706884,0.170121156,0.040918461,0.170121156,0.041574019,0.305019762,93.36572619,513.3294064,47.31713691
40,13,Current_position_5.0,0.406008669,0.012723956,0.005592158,-0.20957303,0.021341325,0.085735074,-0.02662667,0.047141339,0.119579431,-0.026766223,-0.007008829,0.068257452,-0.027716561,0.002021156,0.018130159,-0.226957722,501,579,30472.23617,0,36718.89743,0.1706884,0.170121156,0.040918461,0.170121156,0.041574019,0.305019762,93.36572619,513.3294064,47.31713691
41,13,Current_position_6.0,0.610017532,0.003145938,0.002554905,-0.261449713,0.063109837,0.123464423,-0.058585144,0.101182709,0.364233873,-0.0355185,0.091582978,0.050288269,-0.031193558,0.002376221,0.033914491,-0.100176677,501,579,30472.23617,0,36718.89743,0.1706884,0.170121156,0.040918461,0.170121156,0.041574019,0.305019762,93.36572619,513.3294064,47.31713691
42,14,Current_position_4.0,0.029269985,0.028641397,0.003474179,-0.126999382,-0.015792737,-0.003474469,0.003925231,0.044323315,-0.013196793,-0.019118431,-0.017857542,0.051911269,-0.00642204,-0.033435247,-0.004269288,0.029275936,501,579,31155.33401,0,37099.05923,0.160616531,0.16021229,0.029466897,0.16021229,0.029934075,0.308476151,91.24430431,511.2079846,48.37784784
43,14,Current_position_5.0,0.070179086,0.058661623,0.005632087,-0.21441672,-0.016989917,0.051692216,0.002664275,-0.023376929,-0.038797838,-0.039598647,-0.063196834,0.108756573,-0.013400988,-0.070127411,-0.009828692,0.026755483,501,579,31155.33401,0,37099.05923,0.160616531,0.16021229,0.029466897,0.16021229,0.029934075,0.308476151,91.24430431,511.2079846,48.37784784
