,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
13,4,Current_position_5.0,0.21761122,0.007629492,0.010954465,0.023169021,0.028594489,0.005328766,-0.009545284,0.107844663,0.05867881,0.001729904,0.029886454,-0.004470365,-0.025226823,0.028346448,0.000352517,-0.007229064,111,174,2134.295545,0,4037.739825,0.476337529,0.471413306,0.171404642,0.471413306,0.179123694,0.168369215,151.371753,504.3199523,3.314123518
14,4,Current_position_6.0,0.362653391,0.010884622,0.004923026,0.034072167,0.050044972,0.008978206,-0.028799611,0.247153506,0.11913549,0.00359362,0.047746195,-0.004520031,-0.027733063,0.043271051,0.000157852,0.141929511,111,174,2134.295545,0,4037.739825,0.476337529,0.471413306,0.171404642,0.471413306,0.179123694,0.168369215,151.371753,504.3199523,3.314123518
15,5,Current_position_4.0,0.065090834,-0.000807351,-8.03E-05,0.004316186,-0.007206715,0.003779177,0.012838176,0.027723826,0.031098212,0.008052388,0.017871782,0.005715558,-0.007576982,0.001460326,-0.000402646,0.065542955,111,174,2468.534772,0,4275.143093,0.425151789,0.422584293,0.094861865,0.422584293,0.098886588,0.181744835,150.3337429,503.2819423,3.833128527
16,5,Current_position_5.0,0.192208108,-0.002187708,-0.00213158,0.013382615,-0.008180797,0.017063143,-0.011647758,0.029576565,0.028170323,0.006238245,0.001573519,0.016384853,-0.011426237,0.004199775,-0.000901958,0.142657217,111,174,2468.534772,0,4275.143093,0.425151789,0.422584293,0.094861865,0.422584293,0.098886588,0.181744835,150.3337429,503.2819423,3.833128527
17,5,Current_position_6.0,0.308664372,-0.00199384,0.000154283,0.02424828,-0.009116508,0.025347012,-0.017879473,0.29138452,0.188216586,0.012210759,0.073246021,0.013053792,-0.013865523,0.00977142,-0.000662977,0.126968049,111,174,2468.534772,0,4275.143093,0.425151789,0.422584293,0.094861865,0.422584293,0.098886588,0.181744835,150.3337429,503.2819423,3.833128527
18,6,Current_position_4.0,0.067958857,0.006647059,-0.00428179,0.011907955,0.009994524,0.002233089,0.002797304,0.052604718,0.033647274,0.008825529,-0.000518537,0.00189695,0.000867359,0.000225279,0.002204947,0.010117286,111,174,2062.880422,0,3885.8659,0.474151148,0.46913237,0.16782912,0.46913237,0.175696394,0.165371105,151.5935391,504.5417384,3.203230469
19,6,Current_position_5.0,0.191954586,0.012891229,-0.005276768,0.02929887,0.011968303,0.004888295,-0.00084167,0.124906544,0.044718489,-0.002521384,-0.002216159,0.004543581,0.000768177,0.000601031,0.005259415,0.033590142,111,174,2062.880422,0,3885.8659,0.474151148,0.46913237,0.16782912,0.46913237,0.175696394,0.165371105,151.5935391,504.5417384,3.203230469
20,6,Current_position_6.0,0.269065712,0.008065286,0.002043621,0.036099936,0.01014606,0.008222089,-0.004318974,0.28001281,0.150404374,0.00880033,0.002325961,0.00345542,0.001097397,0.000777659,0.003456183,0.200678684,111,174,2062.880422,0,3885.8659,0.474151148,0.46913237,0.16782912,0.46913237,0.175696394,0.165371105,151.5935391,504.5417384,3.203230469
21,7,Current_position_4.0,0.060156936,0.006026299,0.000902582,0.013604797,0.008024881,0.001133371,0.045492754,0.074430977,-0.001046155,-0.005126877,0.003708105,0.000995633,-0.009629442,-0.002995722,0.000909502,0.104200652,111,174,2212.295845,0,3953.492931,0.444027047,0.440419932,0.122820433,0.440419932,0.128474831,0.171583936,151.129516,504.0777154,3.435241995
22,7,Current_position_5.0,0.187509434,0.01437072,0.001282889,0.030510502,0.010314197,0.004950926,0.027794599,0.087178847,-8.35E-06,0.004717439,-0.00228809,0.002563081,-0.014338247,-0.004804478,0.001778127,0.160211819,111,174,2212.295845,0,3953.492931,0.444027047,0.440419932,0.122820433,0.440419932,0.128474831,0.171583936,151.129516,504.0777154,3.435241995
