,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Contract_duration_6.0,Leadership_position_2.0,Leadership_position_3.0
5596,1399,Current_position_3.0,-0.00481132714145633,0.0027075773240780136,0.00042193085161079593,4.5024480575576324e-07,0.00022659339527014377,-3.5306951558550957e-06,0.0020870373431425902,-0.0016124648742615185,0.0008053865299434664,-4.5227809751285175e-05,3.3404927506721824e-05,0.0001343695161934766,-0.00045375311516396104,-2.128777273522824e-11,-0.000124262476734224,0.0003715714569832825
5597,1399,Current_position_4.0,-0.010048870024596514,0.0040045758075680105,2.380213707233965e-05,0.0007368311684701342,0.00042789685281052634,-0.00035808361158231304,0.0069691352867507494,-0.0020951963211089395,0.0010710049763470672,0.0001724519358184763,-0.0006371050081776514,0.0024886724841913666,-0.002758347185623431,0.0014578732518187756,-0.00032526094955643783,0.0007297165096685445
5598,1399,Current_position_5.0,-0.009264436897790227,0.0037481837376090693,0.0007395284488020633,0.001093754406651652,-0.0009273259913398514,-0.0005105996712186803,0.011545578348996752,-0.0013353790839902293,0.0008210570031990166,-8.376607143451297e-05,-0.0005586145282520078,-0.0014574235007445827,-0.0027583471795052062,0.0011845216714961803,-0.0005498615484890275,0.0005860797848835925
5599,1399,Current_position_6.0,-0.011018228035038045,0.006018426462452351,4.3299539608737264e-05,0.0013093197447541865,0.0003081365914113178,-0.0010458066824588583,0.013193001515564653,-0.0026505746191255396,0.0009307836415540409,-0.00022286045436152975,0.0002510599104201104,2.38222100632149e-05,-0.0025992608197299336,0.0020489027190537658,-0.0008497336262004678,9.82324856848709e-05
5600,1400,Current_position_3.0,-0.0022567524541179996,-0.0003348111342871052,-0.0011987924012927074,0.0007638928386077092,-0.0009455827356543753,0.00021374964772501366,0.0024862626222472936,-0.0007123059979790594,0.00038679098623547613,0.0009103754784068688,0.0007077378830451693,-0.0012083028445261197,0.0004238722612722613,2.945495898183529e-09,0.0005405354866568982,-0.0022381791450848004
5601,1400,Current_position_4.0,-0.004679310688529018,-0.0004832920088262156,-0.00023290073166012544,0.0070660867225396315,0.0012974970440245606,-0.0006305318676302964,0.006335869954024087,-0.0006035992023566786,-0.0011510503555409802,0.0005430136168196753,0.0008260822651189193,0.004845565100598469,0.002267962758372845,0.001776951273361027,0.0016638947205718053,-0.002879547242297089
5602,1400,Current_position_5.0,-0.004463150551715885,-0.0008229920520002873,0.00040343786873661583,0.008575974115773407,0.0004028687056848518,-0.000817329187082313,0.008178670760901119,-0.0016823104793620932,-0.0008393310016773836,0.00031966976524808725,-0.0011475811821086638,-0.0034009860744238767,0.002267952116280429,0.0011352499370214997,0.0017717460769114564,-0.0028596347919371645
5603,1400,Current_position_6.0,-0.005323718443552284,-0.0004861448897401335,-0.000846144930134982,0.007613581901008659,-9.563054808203081e-05,-0.0020929293109031026,0.010827957683502094,-0.0016743786485019828,0.0010022884531306808,-0.0013590356602603787,0.0016726365617816634,-0.0003161840461791706,0.002197202476208737,0.0028243438806688065,0.0023853544501775442,-0.0013281827200815456
5604,1401,Current_position_3.0,-0.003983607936554733,0.0021159894814211065,0.0001293870142748802,-0.00045937439670269784,-1.3466552991225e-05,-0.00011448581285904909,0.0025218244353225117,4.626540190658039e-05,0.0021039845858529726,0.0001056985652049081,8.903545535913906e-05,0.00012123339929382837,-2.467031683649289e-05,3.4234767176028183e-09,-3.2560520319980095e-05,-0.004378149280106292
5605,1401,Current_position_4.0,-0.008972847870479283,0.004361853132484178,3.806503606485663e-05,0.0032964481370106333,1.147982030697309e-05,-0.0018684937734267865,0.0075279559789923145,-0.0003315314589191377,-0.00032715358671689274,-0.000271260337250485,-2.6681324496312535e-05,-0.00022652665057600236,0.0006676434277788233,0.0004027142792251779,-0.00042550577905165485,-0.00768359819839433
5606,1401,Current_position_5.0,-0.008253329281043628,0.004043417710209162,0.0001396370374340545,0.0028618108778977586,-7.20964853624808e-06,-0.0025309031601946884,0.012800326912310088,-0.0007927694712570844,-0.0025067353130290904,0.0002541004122037662,0.0008906968460759559,9.089934613442556e-05,0.0006676423052158367,0.0004759351107218955,-0.0006258427841282904,-0.0013009289599761953
5607,1401,Current_position_6.0,-0.012278729647302198,0.004561690551186898,5.6490540176150524e-05,0.0057941744428774275,1.4350442929451227e-05,-0.0055183679710386156,0.014478039376598445,-0.0007179209278937474,0.0013409675810733216,0.0001023306280887095,0.0002912410749032809,6.335137228872549e-05,0.0006676442811824571,0.0006980434214427813,-0.000905048864329881,-0.0028781456560396795
5608,1402,Current_position_3.0,-0.0035942142166122235,-0.0002470723484398165,-4.4293699287401785e-05,0.00032002949777876135,-0.00035551794111997667,-0.00046064185615282726,0.001658871487294703,-0.0006351008157622582,0.0003125820217698242,0.0004891205630551722,-0.000199738069010146,-0.0010529666759400637,0.000798705980254088,5.183652688902806e-10,0.00017670789097570065,-0.0017104130382863078
5609,1402,Current_position_4.0,-0.006353418696737502,-0.00023781935742775114,-1.5628117195664482e-05,0.0017687178760604795,0.001832067975608664,-0.0024823529019154865,0.004550999073229162,-0.0021476914540194524,-0.0012401548943442944,0.0006267404980724572,-0.0003108807244773961,0.0032984175209935093,0.0076142388553685015,-2.895102076954585e-05,0.0008980543028618165,-0.0021082518801177922
5610,1402,Current_position_5.0,-0.007473091555279148,-0.00038638307267635936,-2.9288054360086397e-05,0.0019580762052474805,-0.000277476787596877,-0.0023127615829750653,0.007361813061271049,-0.0017605892078963548,-0.0021775658427361003,-0.0009308670032236241,-0.0006829210839987589,-0.0006054913998047469,0.00761423586513366,-7.48772619307138e-05,0.0012562320725895905,-0.0013046868173796427
5611,1402,Current_position_6.0,-0.00980464929334192,-0.00036069920592768416,5.617911929810126e-06,0.0027134634771322046,4.30344848202343e-05,-0.005562138543088623,0.008691826847419835,-0.003117840961409347,4.060547187891851e-05,0.0012101944710819846,-7.008068318759472e-05,-0.0002583106972561719,0.0073549887072087245,-6.863783097889739e-05,0.0014116864752112422,-0.0011209387682410102
