,Bootstrap_nr,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Contract_duration_6.0,Leadership_position_2.0,Leadership_position_3.0,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0.0,-8.990080113943713e-05,-0.0004896781352631995,-0.0019898138717286055,0.031840712257039334,0.009253129116718129,0.001333659996280614,0.001857916490458602,0.4310039455968093,0.4014210033147719,-0.029022220891855507,0.1064298769869766,0.06265357982602475,-0.039511543064196,0.09225886532443395,0.007528348862811137,-0.06608154018309385,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
1,1.0,3.8439627564561145e-05,0.004752108258227636,-0.003957412269433457,0.044264206416065564,-0.0221554341026534,0.001416172945801346,0.0012924335658132046,0.34481288817645506,0.40247266819999555,0.01760857082208332,0.13649133463848234,0.07847522351218893,0.002518245137397722,-0.1410236127646586,0.008327479122915492,-0.00438117093383597,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
2,2.0,0.0003258140057868748,0.006290852909800594,-0.003004758209110241,0.008951635336888603,-0.03208261264503165,-0.0002864075194484674,0.0013903106818701073,0.4022595681334529,0.33944352845706943,0.03994640643671412,0.13265863339680065,0.05769950201459856,-0.007919473518741749,0.05821877642650951,0.05771325682705205,0.040069146547908836,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
3,3.0,0.000339436655698757,0.006989077721719827,-0.002077830669395588,-0.006807251658464977,-0.03832984383354052,0.0015998424043872992,0.0003350444239658902,0.4072402065302389,0.3809872608632884,0.03676499160840553,0.084853844465438,0.08590372751711522,-0.013562808904804002,-0.03302019488781942,-0.12399065343989062,-0.0884109490822045,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
4,4.0,-4.018296433279527e-05,0.0008793251713768485,-0.0008312075615387979,0.01609802757060621,-0.034892524427792976,0.0006833901559771781,0.002935096856096346,0.453368846241238,0.3398855662136894,0.020500693569906716,0.11150172865686271,-0.11926747159482502,-0.2500146902827805,0.11480461581892669,0.167188630207274,-0.008927502790581077,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
5,5.0,0.00012160718582486784,0.0031717677648900023,-0.002793663426573822,-0.031707275657716104,-0.0203734312613757,0.0015090445593194388,0.004662505836393983,0.4483893822574607,0.3638137531165473,-0.01647748701171787,0.11775387152601496,-0.03180958901911495,0.009987520322464418,0.5731061295550838,0.15215073484370847,0.14249172468651644,1000.0,1159.0,35006.53468592852,0.0,61326.34713119089,0.43480082956325894,0.4291762623486828,0.3384152880621233,0.4291762623486827,0.34493416146381717,0.2388680474737191,234.72517693156277,1007.7025888886607,58.63741153421862
6,6.0,0.00011816084103751048,0.006275387965585941,-0.0016398305918000737,0.022074710243654372,-0.0587366441291251,-0.0005327683618361199,0.0020445376874054007,0.4410355508534175,0.28415782879748375,0.042967670881225196,0.11849428217167378,0.11055139878231333,-0.04644524263177429,0.16135011620301967,0.008667400769217508,-0.0232258524194087,1000.0,1159.0,32342.186983253247,0.0,60209.16367121146,0.469227771191879,0.4628361363750779,0.37742708205871534,0.4628361363750779,0.38483498681138767,0.22931978120615398,243.65096488022363,1016.6283768373216,54.17451755988819
7,7.0,8.043155020877022e-05,0.001908224118611533,-0.0016900157725160017,-0.00484438051867228,-0.07616456106245857,-0.0018515324159443722,0.0001694630645898717,0.471727462485855,0.3212391307968051,0.03964462742324388,0.12519437045809517,0.16716958012556113,0.03765157860486474,0.14866935106001758,0.0483135008335029,-0.07415242044995081,1000.0,1159.0,31218.93897105556,0.0,58773.51463228625,0.47549781224536514,0.4688264064795956,0.3843698051098513,0.46882640647959556,0.39210196439237827,0.22517308395247954,247.41393979545876,1020.3913517525567,52.29303010227062
8,8.0,-0.0003993632756772787,9.564194544245145e-05,-0.001206763142301561,0.032018455187078076,-0.0705492971150047,0.0011387765029544682,0.0021989111381116697,0.41480816059299686,0.27186509233969575,0.06286786695212296,0.1825908358300801,-0.03903603653866474,0.018468708286163697,0.3227202117642671,-0.026137176723283386,0.013451984034535552,1000.0,1159.0,30729.24226485235,0.0,58654.626015327754,0.4829303666173348,0.47609857308062764,0.39279824620044745,0.47609857308062764,0.40071629490949107,0.22334117168106973,249.054464774364,1022.0318767314619,51.472767612818004
9,9.0,0.00020618651864730934,-0.0011080742204112215,-0.0018010633024153006,0.08092165215660524,-0.008025171761750698,0.0006412464667863328,0.004402261307362264,0.31845842729410395,0.4008033679949082,0.039608161916574326,0.10033012940121298,-0.08477809742201907,-0.10961974454601521,-0.2930192876525438,-0.11765893797004583,0.04789661560882618,1000.0,1159.0,33196.65158605008,0.0,59766.888361662146,0.4506430365249049,0.4445644989049775,0.35625025423086887,0.4445644989049775,0.3632952793323648,0.23242467057817381,240.78843689765466,1013.7658488547527,55.60578155117266
10,10.0,-0.00011969224986146057,0.014757646036769727,-0.007059731848822608,-0.011168399995954705,0.020211853659197133,0.0019754307512968357,0.0019095536989374936,0.390221108511143,0.35521218769904755,0.02718353651308323,0.13133379908982779,0.029247383560085743,-0.00983663197701249,0.11980671622952456,-0.09150552573751523,0.03630026325661251,1000.0,1159.0,33362.316928840584,0.0,59764.03423228405,0.4477894714544337,0.44176598254442256,0.3530067737689857,0.44176598254442256,0.3599879974156886,0.23302186480654652,240.23344412448716,1013.2108560815851,55.883277937756425
