,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Contract_duration_6.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
0,0,Current_position_3.0,-0.0008005794599852223,-0.0018128659277655138,-0.015834547841259344,0.002155237845913063,-0.0017975831734450343,0.0049355576242172084,-0.024423800623167388,-0.01054516011548785,0.0188642836491582,0.0035692265450605167,-0.0034463385891140346,-0.004449054814474405,0.0011029190201030637,-0.0011505497451309368,0.0005466775837821044,-0.017037446686241912,0.18583144479854696,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
1,0,Current_position_4.0,-0.0033792255899495398,-0.004123667855780128,0.007585542330887658,0.01381604007258873,0.0014616118024109177,0.015313245256204816,-0.04073218590869934,-0.06113024181060478,-0.03213875037781831,0.006789865428825377,-0.019963951328175713,0.015644421054263075,0.027163506925135247,0.02810333079214379,0.001191284357868907,-0.02132358979515827,-0.07985665390686025,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
2,0,Current_position_5.0,-0.002227583248838551,-0.003504432822902528,0.010343434222253967,0.027222773952481284,0.0003877098823478552,0.020533615905876806,-0.054552305533262894,-0.027422412691819522,-0.023026624911826256,-0.0016912221284882502,0.00523436015592492,-0.013059461867351314,0.027163461722066233,0.003837802048673928,0.0023475793513301813,-0.014832995308860002,0.38973438688772005,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
3,0,Current_position_6.0,-0.005693004055934878,-0.00512164701577509,0.0009913728714248382,0.03137063943947577,0.0012777534194665077,0.018756126001427002,-0.04518115836068234,0.02579281940796807,0.1507739738681187,-0.001857289306853257,-0.01976748196863259,-0.016446063512099787,0.0271635271407477,0.06107153216614545,0.0020068820063887153,-0.02488444587874989,0.004806004208492531,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
4,0,Current_position_7.0,-0.005743658274741459,-0.003907780043260995,0.02172638335419777,0.007729264655521787,-0.002694362703474455,0.03986482253128262,-0.06840874894342487,-0.24714617190950605,0.02649360594299193,-0.003221803089193855,0.0028510399331622286,0.0041269138462564315,0.027163659032541112,0.013996966123338388,0.0013666504582465174,0.0012406101801869973,0.7014668503105216,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
5,0,Current_position_8.0,-0.003566442611776974,-0.000941842183989259,0.038498400013635505,0.043760931133356454,0.0053592840386231634,0.03653931964943428,-0.07243012392816528,-0.05879904006937386,-0.01573829688979384,-0.004566002198473949,0.014525354364669566,-0.016445049196562055,0.027162873404449873,0.0068758086277778685,0.0021972387251621038,-0.02174279536422806,0.46200617515908154,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
6,0,Current_position_9.0,-0.009066202039907996,-0.004437640870283101,-6.062789779427864e-05,0.05860074908319765,0.001233958364949329,0.026079880547087025,-0.0595242877982268,0.04616305968240852,0.2072543208579243,0.0019261620045522483,0.003405031113013486,-0.014235499413339773,0.025768855720578913,0.02815564606752518,0.0048657908759576025,-0.006533807675448389,0.21610377530547242,1000.0,1159.0,30231.689553234926,0.0,59711.29067935748,0.5007592493125036,0.49370229299554924,0.4132009575818416,0.49370229299554924,0.4213799699531917,0.22146435149237403,250.72130802936374,1023.6987199864617,50.63934598531814
7,1,Current_position_3.0,0.000535341264890752,0.013263743031354344,0.04040943311565246,0.006273575981581629,-0.0006749301341998975,0.002047241157968025,-0.011000523075546312,-0.014273662199775218,0.01834569941739365,0.00020900279035976824,0.023785710616345518,-0.0029174241197574714,-0.0002260414396150899,0.002390302293966564,0.0006041301478183456,-0.0009049304822917641,0.1447026481603224,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
8,1,Current_position_4.0,0.0019622224023217887,0.025854595575797085,0.040981779414940196,0.03671685161573328,-0.0029477007171888944,0.015807428278891884,-0.030183083226103816,0.012690073474254037,-0.09089494102711843,-0.005008908313829728,-0.030430533008163525,0.01793614221492736,-0.00186378007599657,-0.04461752761625185,0.0016713510336110373,-0.0011296056758159255,0.2399765507839055,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
9,1,Current_position_5.0,0.0010791334123472244,0.03886645645527038,0.039303980778999395,0.045685890900618316,-0.002170641657234317,0.016530685155677675,-0.032793439838660836,-0.09328602445671985,-0.025507309962700935,0.001402493743039157,0.008631485525910174,-0.017734402295875237,-0.001863779902920328,-0.019644559231187922,0.001986760323614963,-0.0011710918836971803,0.5362295990462799,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
10,1,Current_position_6.0,0.00177043909048682,0.060331096330873905,-0.03255608349284918,0.052709906552181704,0.0023202895140038114,0.01640226421043161,-0.02918720257852152,-0.07505770450656438,0.12635659882023287,0.00362122516361756,-0.01663376340378429,-0.017734460016536065,-0.0018637809005593777,-0.09885740230622093,0.003962011359624249,-0.0009253564574572292,1.0727160356612775,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
11,1,Current_position_7.0,0.002158056562492931,0.021982080181191244,0.037603604959828944,0.01598170454296651,0.005989815444773896,0.05050966521810317,-0.05156896895173666,-0.19985039445118927,0.0013864869202546524,0.006577581909923324,-0.0015992734923014598,0.007995115333137034,-0.0018637815165544148,-0.013792658197031156,0.0008608183044049385,5.4374856646329486e-05,0.4809580007647899,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
12,1,Current_position_8.0,0.0007256009573852007,0.009905868068535606,0.06282476746315531,0.05793895555550293,-0.001676357921781723,0.03972514072174193,-0.047158544773318566,-0.1035430377424736,0.0558769091250598,0.005496032470774343,0.028745177696580616,-0.017734522742502618,-0.0018637791077777649,-0.012719294070918048,0.0025814218126915594,-0.0005843367392189755,0.45262824495696635,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
13,1,Current_position_9.0,0.004240800582995793,0.031199020877147914,-0.010909744421484676,0.07216794632671704,0.0006009327256607295,0.0220183236885222,-0.0375607513340738,-0.0518126082454543,0.039278464294419,-0.0028916678637562676,-0.043372894227085,-0.009326423433140411,-0.0018038228604332184,-0.029507899674113467,0.005556054303076005,-0.00048001743258354565,0.48757636828950524,1000.0,1159.0,32364.711975086364,0.0,58511.72429588785,0.4531260308878615,0.4468679163953313,0.358919915102189,0.4468679163953313,0.36617306979903147,0.22940217013554293,243.57550427106747,1016.5529162281654,54.21224786446627
14,2,Current_position_3.0,0.0050711561464402985,0.0188455032498392,0.00619559239149377,0.00031339046876691697,0.006075545866313012,0.0004923809343502183,-0.005094470743294428,-0.017556089225865018,0.0682465436200872,0.009905622740685509,0.03446519470317003,-0.005437025837059034,-0.00011564140174844574,-0.0003364622452875618,0.003285311582029736,0.007118286220086659,0.028498205411750587,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
15,2,Current_position_4.0,0.005304282643111872,0.030524945692626322,-0.018575583168113873,0.007081435623628193,-0.005796348842599605,-0.0035950257499088277,-0.032075793360221566,-0.07520163770750361,-0.04745991070200805,-0.0067335720206362784,-0.023496454048724233,0.007371620047321917,0.005905367155818316,0.019069816565907484,0.01117084950672886,0.009912223123446534,0.15883779897851832,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
16,2,Current_position_5.0,0.007484872414071247,0.03765076723487363,0.03245597217228404,0.009268744958772761,-0.009085739189564675,-0.0027003123447228742,-0.0363352191160217,-0.00850319366309286,0.12155505386796914,0.008456906385161942,0.045363841888240296,-0.013340971050575013,0.005905372729810594,0.003088097840370704,0.01460922212422383,0.010395778017920602,0.5052685515264352,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
17,2,Current_position_6.0,0.017088959473933473,0.07541438210694416,-0.021029803372620916,0.00994280426182915,0.005951381012066074,-0.002985635697651187,-0.032501811346108134,0.026146899446153754,0.16308670820948254,0.0160308619796342,-0.0071412171476860995,-0.013340932172823448,0.005905376344138058,0.03786954271530486,0.028188784864765882,0.009880227104419574,0.9033091977352529,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
18,2,Current_position_7.0,0.02086188664651816,0.028240653607832587,0.01869856234597521,0.004995811243582826,0.007870591789082003,-0.008731432271392047,-0.04820196004351443,-0.2499631425284696,0.05425778510061259,0.020427002153498935,0.05105634771337263,0.009738665891376834,0.005905343423270437,0.0063170340893819125,0.011699523420149628,0.002045027799793828,0.5787239994383403,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
19,2,Current_position_8.0,0.005098665734061763,0.016818140992653243,0.046656483061275345,0.011900571870215289,-0.014748573648466524,-0.006751558472572526,-0.05183082467806551,-0.04566449404236786,0.2067252905517231,0.019260644637702752,0.05187367586210905,-0.013343253433972068,0.005905543235193956,0.006512834120813045,0.01970064810209676,0.012751961100318877,0.6815663564415331,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
20,2,Current_position_9.0,0.033256613817705394,0.07139667745135492,-0.037748977528339236,0.016064690650293686,-0.0013889635604894441,-0.004237753182562356,-0.042221488556211904,0.004158276791468737,0.1784059401521585,0.006665273440248934,0.013936720232998622,-0.011999261247813909,0.005905330394919259,0.011848896230633617,0.04228177913659407,0.0037356965107626797,0.3603862506062014,1000.0,1159.0,31462.9153847285,0.0,59666.58516154713,0.4793339137033875,0.4726878486586297,0.38884521659535176,0.4726878486586297,0.39654800598222617,0.22608023826829823,246.59659837611892,1019.5740103332168,52.70170081194054
21,3,Current_position_3.0,0.003640618059410431,0.017358665337789327,0.026997293542143568,-0.0017369081243873725,-0.001283834762493251,0.003640536459448589,-0.0015089549594374707,0.002136172317547513,0.09823231875845921,0.003250068005450602,0.017008688825201963,-0.0010764107533072266,0.0013639150575608281,-9.482477041077354e-09,-0.007091502856216599,-0.014391448484234952,0.2846841591721276,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
22,3,Current_position_4.0,0.019287628983578952,0.0493821835195157,-0.005728215249322311,-0.006953718416590194,-0.004068706761896457,0.015252532092745175,-0.006875446277059915,-0.04327874618025769,0.18473734135768866,-0.0042860485820249775,0.0020085670957568553,0.021600080346409645,0.00995649788185154,-0.00825504700281037,-0.015070918659357294,-0.02793655755114828,-0.15403925238055777,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
23,3,Current_position_5.0,0.007049996444450097,0.03456208177657514,0.024657091589355144,-0.008553963176129465,-0.007107419711000667,0.0235043841281783,-0.007161424895621409,-0.03311824111434377,0.11879294798391656,0.01776587859450313,0.05192817647729444,-0.0213519152393375,0.009956492283942775,-0.003810020924058486,-0.03600101309788924,-0.025669417268676834,0.6499705204955396,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
24,3,Current_position_6.0,0.006964149167782464,0.06633038231044096,0.00849462957700308,-0.007980316300109905,-0.0023935065165333444,0.023288346942749494,-0.00655958861986625,-0.0697774651161313,0.2657411880002624,0.008682652087604981,0.03545465725019085,-0.02135181748204022,0.009956485742944084,-0.02044107397901654,-0.03327616001652434,-0.019515962239636947,0.8461279212265113,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
25,3,Current_position_7.0,0.02483204315592024,0.04733253109789902,0.024532917059127992,-0.0036188105725299046,0.012288948441471922,0.04920239242408876,-0.011877147080193216,-0.2501525112172301,0.041980672684747415,0.00969142096957827,0.018864232586096194,-0.005732990679796658,0.009956504738962648,-0.006003670784630627,-0.020393742593192953,0.0015336504981741765,0.6650216270476536,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
26,3,Current_position_8.0,0.0035215985837078593,-0.009468334397700808,0.03935704064160424,-0.008466035161394447,-0.014708366568554598,0.037136846629890495,-0.011932382223616842,-0.13340957074855123,0.002661960809959846,-0.002685821402131103,0.03343438612207092,-0.021351738207773106,0.009956489935230194,-0.001375840187169006,-0.05467908487263109,-0.013201074493098534,0.10434396507907506,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
27,3,Current_position_9.0,0.03047574559810373,0.05197390266518233,0.0019286320897309193,-0.011189217539843279,0.002532716422357133,0.026696030244665738,-0.00953639273926068,0.017201596168330946,0.22353347496338227,-0.002480882616653793,0.009214434323097688,-0.009898004332359212,0.009655100227459018,-0.007337851739374246,-0.07913274334683544,-0.007307517503056503,0.5373098170801498,1000.0,1159.0,33375.79068693148,0.0,59309.16420234155,0.4432381897620197,0.4372574435029082,0.34778137701987055,0.4372574435029082,0.35471306193418084,0.2330703680320238,240.1883059064272,1013.1657178635252,55.905847046786405
28,4,Current_position_3.0,-9.853877946514507e-05,0.002491883015153671,0.005571720704318949,0.0005097922482281598,0.005839467975684579,4.895418577404219e-05,-0.024055002978242566,-0.01489645413116188,0.08063954504960845,-0.0006085594534803516,-0.0003707975100363522,0.009821061491318527,0.010698078238434388,-0.0006723678185323802,0.015002808694780226,-0.0022200718583410078,0.09794522362490175,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
29,4,Current_position_4.0,-0.0008517273158508018,0.005386065651343949,0.002777106685675848,0.010052571962398133,-0.00442815857195228,0.011659222009350363,-0.08192277618000797,-0.10861257086000192,-0.05329671007385877,-0.007916356311230945,-0.026716000714852573,-0.018283442558275166,0.1798217990040307,0.03486277569486824,0.026884898654499997,-0.0027671028207991465,0.07223186304351777,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
30,4,Current_position_5.0,-0.000498899546062061,0.007512018749230654,0.0016669312516842314,0.01625359086164586,0.0025084235064644117,0.010088333162956958,-0.09146793910501334,0.007695814900682847,0.1183268763864851,0.003758199587629146,0.013572564482383837,0.01946775177164586,0.17982002933276536,0.009458268073881816,0.06786237466526404,-0.002679592051254965,0.43021320649562483,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
31,4,Current_position_6.0,-0.0027114773788208136,0.007646045381746231,0.0016601590583093966,0.022973346939716754,0.003503972315091039,0.012738272442087977,-0.08869711181391395,-0.026683561405331346,0.1590617104988465,0.009974082730125922,0.0031641412861186133,0.029991348763020145,0.17981891846672832,0.04747146817353568,0.09070414407331152,-0.002095162711348054,0.11534221486524374,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
32,4,Current_position_7.0,-0.003871006898012931,0.005355645859939879,0.006185670106279781,0.008557298539587772,0.010924578508782234,0.024239999164364284,-0.12415011198037214,-0.2864855085238618,0.07133147244056252,0.009595182030961678,0.01183094697009788,-0.010324391928818758,0.17982446490203072,0.018731758489694963,0.027277047302966914,8.302120069329415e-05,0.5631847452626706,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
33,4,Current_position_8.0,-7.39822239607337e-05,-0.0008652643460637339,0.014629320677909435,0.02193498687367899,-0.018222891970371576,0.01812656240179006,-0.12073074466241566,-0.10328096500421828,0.015714179119941656,0.00017558156336252082,0.03434024865708782,0.029991764831579216,0.1798049509933768,-0.0006730134893617567,0.05753011949999172,-0.0033624095563121684,0.41730211742573825,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
34,4,Current_position_9.0,-0.003341871980508247,0.008485962399925048,-0.00443116662296372,0.029458740911818663,0.0010710911329949741,0.011565832053992826,-0.09326084907419754,0.026132155201761813,0.12293198985395176,-0.0031884378078960948,-0.013039587285003934,0.02999105593775005,0.17710679455308198,0.021788775695260755,0.11532586988285919,-0.0008586784336118228,0.252197184920331,1000.0,1159.0,32035.845790574193,0.0,59928.34555783457,0.471904179024216,0.46543083256557427,0.38043433494350054,0.4654308325655742,0.38793694348906627,0.22819633380645793,244.67723353241476,1017.6546454895127,53.66138323379262
35,5,Current_position_3.0,0.002536738620229616,0.006149067528471199,0.027637359485133777,-0.0029287366135227534,0.004676280214471736,-0.00025761239343063394,-0.02904971025276259,-0.06443772151145448,0.016321558184010453,0.004171214120991837,-0.004253814058452696,0.0026161688531818644,-0.00044684882088862196,2.1720716896324825e-06,0.008125357739617227,0.03248314728017673,0.04273158811991451,1000.0,1159.0,35006.53468592852,0.0,61326.34713119089,0.43480082956325894,0.4291762623486828,0.3384152880621233,0.4291762623486827,0.34493416146381717,0.2388680474737191,234.72517693156277,1007.7025888886607,58.63741153421862
36,5,Current_position_4.0,0.005084265555423173,0.022186815332239016,0.0014127135797072678,-0.022705123421097435,0.00022147660671456427,0.010385745523478592,-0.08771956924246478,-0.07274154462355889,-0.03125267675134222,0.010761995312730895,-0.032717071194121344,-0.006843479721906904,-0.007570329414158688,0.18042587593786014,0.026231868779960206,0.050140334985558824,-0.14818581720584922,1000.0,1159.0,35006.53468592852,0.0,61326.34713119089,0.43480082956325894,0.4291762623486828,0.3384152880621233,0.4291762623486827,0.34493416146381717,0.2388680474737191,234.72517693156277,1007.7025888886607,58.63741153421862
37,5,Current_position_5.0,0.0034578093127921546,0.019537313121165842,0.03142439649963881,-0.03437705789055657,-0.0030737636456269458,0.019671551816035415,-0.12252704891278836,-0.008863555502317618,0.0706172080587941,-0.0012036181277736912,0.026220292581526576,0.006518280150927673,-0.007570350445972544,0.027959339428721808,0.04629766200710362,0.04170957682538461,0.43057197471594627,1000.0,1159.0,35006.53468592852,0.0,61326.34713119089,0.43480082956325894,0.4291762623486828,0.3384152880621233,0.4291762623486827,0.34493416146381717,0.2388680474737191,234.72517693156277,1007.7025888886607,58.63741153421862
38,5,Current_position_6.0,0.003757586625112434,0.03959587403990805,-0.02365011779858121,-0.045605973309503924,0.0024850049961698375,0.017017227805012896,-0.12828491962116342,-0.0511164865628625,0.07356859540851213,0.004979360642628268,-0.049086386174536,0.007294159246559011,-0.007570424235675835,0.33962333007335604,0.07694511186304992,0.03167156194345299,0.4265388545895527,1000.0,1159.0,35006.53468592852,0.0,61326.34713119089,0.43480082956325894,0.4291762623486828,0.3384152880621233,0.4291762623486827,0.34493416146381717,0.2388680474737191,234.72517693156277,1007.7025888886607,58.63741153421862
39,5,Current_position_7.0,0.004776372425186706,0.01950043606327778,0.01765067635909585,-0.019598801691323556,0.004757869080221978,0.04052048240142135,-0.18346119836813088,-0.24559805919163902,0.05040283465419541,-0.0010739478810588845,0.025954006640873314,-0.00420337936947407,-0.007570318533335484,0.10357489587379369,0.032885877481811376,0.010304226626416363,0.6302050871624814,1000.0,1159.0,35006.53468592852,0.0,61326.34713119089,0.43480082956325894,0.4291762623486828,0.3384152880621233,0.4291762623486827,0.34493416146381717,0.2388680474737191,234.72517693156277,1007.7025888886607,58.63741153421862
40,5,Current_position_8.0,0.004986088154045683,0.007367721163118181,0.027459494080314024,-0.043052458559934746,-0.0032891747924040336,0.042450126356990116,-0.19004019719759085,-0.24596952081560777,0.05403560622989765,0.003455105493528675,0.025434663942811377,0.007294348636449003,-0.007570488146053399,6.152095702907051e-06,0.04435655873563753,0.024789028259342913,0.7109022174058335,1000.0,1159.0,35006.53468592852,0.0,61326.34713119089,0.43480082956325894,0.4291762623486828,0.3384152880621233,0.4291762623486827,0.34493416146381717,0.2388680474737191,234.72517693156277,1007.7025888886607,58.63741153421862
