,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_1.0,Contract_duration_2.0,Contract_duration_3.0,Contract_duration_4.0,Contract_duration_5.0,Leadership_position_1.0,Leadership_position_2.0,Leadership_position_3.0
789,72,Current_position_10.0,0.0007267021871066888,-0.00015537947706592702,0.00029753797222251236,0.016385869563772137,-0.0002866761100985711,0.021468504739120667,-0.03138108910544529,-0.044011045815335124,-0.019753528173815513,-0.03378143244727715,-0.01828308572144067,0.005394228171686152,-0.010855746431454363,0.015890416041048114,-0.007240837613929283,,0.0024698617232279444,0.001576353678572999,-0.00011802338702821886
790,72,Current_position_11.0,-0.0017942680836836751,-0.00039218201988921054,0.00024846388408861073,-0.04197339531688884,-0.0002029465731046308,-0.04464508379973795,0.021349508735084698,0.03087641103178452,-0.014428469282119612,0.026753565471020757,0.014343094540695338,-0.003654411923340546,0.0092670675549062,-0.009307616803512771,0.001968313393217411,,-0.0024553146822475255,-0.003783386185698532,3.96675469318019e-05
791,72,Current_position_12.0,-0.001270189956164151,-0.03955293390669651,-0.0005304545600585398,-0.017426215439738785,0.00028510677749145656,0.05590911539023481,-0.04233661817560172,-0.06129718791047983,0.0809269987655207,0.02468644866354321,-0.014693517611277228,-0.0002679328337264978,0.0073241904875929985,0.023275800484743276,0.04909348912115158,,-0.004158297107916391,-0.0033999413073384837,0.0001725775504262301
792,73,Current_position_2.0,0.04472927241648796,0.003986073921834171,-0.001606446949777843,0.12581025585415795,-0.002233190546668069,0.017989903209534565,-0.04038553092124071,0.034348086671605334,0.060448887916496975,-0.014209342036306057,-0.027822275300172054,0.04343855844516322,0.0024828250597678414,0.03103870492879595,-0.002452487696020753,,-0.004481649955969522,-0.0015466282658573407,-0.00018481856874621967
793,73,Current_position_3.0,-0.004131191096980207,0.0018394691196088593,0.005168036486339273,0.12438088657169773,0.00850652758621141,0.035742394523593596,-0.05804025583150439,-0.024191003782087814,0.014918271733008958,-0.05476620889650408,0.06191031058051987,0.05214350681333301,0.0031191590764562435,0.03520352965255635,-0.006161190749746191,,-0.0021034072673703943,-0.0005832658960560056,-0.000607757591774577
794,73,Current_position_4.0,0.008759679500462846,0.002526842626065246,0.0018545861727695691,-0.002886584110819146,-0.006996109137249249,0.03954378273489822,-0.0527813674227834,-0.13226543094084262,-0.04023937439989321,0.030978905860756276,0.02401982962763611,0.026924736876733944,-0.0011628020186818342,0.03530557629576027,-0.006176874277023606,,0.0006898945848606141,-0.00011596241224846231,0.001321550058932193
795,73,Current_position_5.0,0.03567436312649766,0.0017592917751678052,0.004272961102875981,0.06302303336403009,0.004651344104846156,0.030890915376718377,-0.04751589576739881,0.010418194447147514,0.07436818674261997,0.08725619164616055,-0.03313784454029392,0.05212247013415406,0.0031137514344904953,0.03521646463637583,-0.006161550717971278,,-0.0038570076423027977,-0.0008210252685504164,-0.0020219850730385527
796,73,Current_position_6.0,-0.006775953949396762,0.0025160930989486423,0.0027421670930294836,0.07078666481474316,0.0022445374163442408,0.014395392682297992,-0.031728255401976886,0.026833757749364983,0.04033435531941104,0.022303735934430226,0.019356561746762854,0.05216908600370637,0.003116201577705619,0.03525222010187674,-0.006158801316741944,,-0.0025899734741324956,-0.0002485338221813534,-0.0024635699888938766
797,73,Current_position_7.0,0.014937613454509417,0.002932505394958135,0.00030932781934227456,0.0334028447219565,0.004115024104678423,0.003001809029153293,-0.02891467183241363,0.04616189625021809,-0.03202245888263789,-0.08054157855875921,0.015718029177066897,-0.019290722148416165,-0.008977819094099369,0.0352996628215929,-0.0061562981376040715,,-0.003569397750568017,5.1197700358069015e-05,-0.00483316863214967
798,73,Current_position_8.0,-0.004103270663248766,0.0009864787227040774,0.0028525099622969748,-0.020282337350561855,-0.00205348729307043,-0.0024367003218579704,-0.010321506590698217,0.023693827011915587,0.0013371941821224455,0.015523641403730493,0.02020906134830181,-0.02245945874263846,0.0009470995424580442,-0.03441298355886932,-0.006167041468096641,,3.731525701421275e-05,0.00021795011994738732,-0.0007474629454783911
799,73,Current_position_9.0,-0.009260796049481946,0.00026707680646405584,-0.00047383447912579635,-0.034797929949725415,0.0019376042140613146,-0.004607255649866454,0.0071073485624131875,0.039517372069487265,-0.05504099865525953,-0.02629208597371409,-0.01635717544454052,-0.033035782251255835,0.0008818774599867348,-0.04590285567328422,-0.006175380104703354,,0.0020298769560369583,0.0003291889153277694,0.0014399143265035573
800,73,Current_position_10.0,-0.007485630662553778,-0.0002286630384128605,0.0014721360392728827,0.012491979620588579,0.0011449221229170071,0.024639692760898554,-0.037474873587457824,-0.014058231548345356,0.003493618423252395,-0.017610026370856912,0.0022557520250809098,0.03155128197016297,0.001792767308409305,0.020828092206219794,-0.006168999066282425,,-0.0007257975150939455,-9.602801662634778e-05,-0.0005940300572078377
801,73,Current_position_11.0,-0.007231933500246801,-0.0015867762965764735,0.0011569848065818694,-0.04293095616135433,0.0012735835329083574,-0.020122312741144167,0.016279451492078625,0.00846242666439112,-0.024332597383974728,0.02402121573765005,0.017071611928812184,-0.01896943806412346,-0.0021941471660488904,-0.0076487983318192735,-0.004499215720864279,,0.0014378046487949873,0.0003637525517437401,0.0005429924432231357
802,73,Current_position_12.0,-0.0013624396921235802,-0.009471903403535603,-0.006442777473323713,-0.03793102314840204,-0.002388016947028593,0.04675835722504727,-0.045561066034002506,-0.07103383886616972,0.10228640379533956,0.02157595641774406,-0.0560646599344314,-0.006115259952505576,-0.0016191953630826641,0.027434301724952585,0.05627433226491813,,0.0021208973504251894,0.0003439996439654238,0.0015043014642735116
803,74,Current_position_2.0,0.04500835754080591,0.04735172451026573,-0.0026424749764076237,0.08413316886173815,0.0002175633008439456,0.006573365203071568,-0.016304209158893402,0.0357899154447754,0.057549174187353516,-0.023995361392653302,-0.03104007463195368,0.03728320264735381,0.004020672837172017,0.02810343102337705,0.006079104380046522,,-0.0025861671750293516,0.0002854027382329992,-0.0003535328409951577
804,74,Current_position_3.0,-0.00042835210423640077,0.010191307736125223,0.006168280497055383,0.05891228641215043,-0.0016521755320194618,0.01691316959656762,-0.02570120586669486,-0.03299013241992373,-0.026225532968049078,-0.03162892322062467,0.0436248448524682,0.05734003978426113,0.008605981376291318,0.03259232459016259,-0.006693289838648101,,-0.0007435864293748751,8.22578345504126e-05,-9.84632864572987e-05
805,74,Current_position_4.0,0.030078031268755266,0.0453065859376135,0.0027509968041299683,0.0029569406361744164,-2.580323367787824e-06,0.01945583903090273,-0.01998157107997819,-0.14443588458718817,-0.025908282824240576,0.04078744184596974,0.047121115474131,0.023080879471143945,-0.0035787195239680917,0.03264644622316228,-0.006707250658166033,,-3.4482912649446704e-05,4.01605640752265e-05,0.0005979650585626959
806,74,Current_position_5.0,0.04300279442810659,0.055049702289777305,0.002322243449715587,0.05961583274446313,-0.001476223266779452,0.01965791044222014,-0.02071193926984426,-0.06707128463731313,-0.05485332212351573,0.09081014631346698,-0.07874576614859807,0.057300669381216016,0.00859015518061769,0.03259614431224995,-0.00670866812815517,,-0.002305568615962808,0.00021956146173497332,-0.0008932979269427876
807,74,Current_position_6.0,0.033436336655346545,0.055669801594559136,0.0025953762379487,0.030030714539666645,-0.0011235998069562463,9.288981410154727e-05,-0.01481451273708361,0.07189644123496826,-0.024801591729750935,0.026334772703948486,0.03319646073396032,0.05729735890762204,0.008595866230002462,0.032575995325314085,-0.006692576209076957,,-0.00245264600342259,0.0001768030721505914,-0.0018912276409960575
808,74,Current_position_7.0,0.020195635393909957,0.017912080201609042,0.003748953420482851,0.023510471720180268,-0.00028209487427642034,-0.004194423414096469,-0.008775124495481634,-0.011188872713172378,-0.0060082180656906145,-0.028347672087420197,-0.038773415926777514,0.002856020688008815,-0.01074671505315301,0.032610629056555804,-0.006688032920440454,,-0.0013133663079205105,1.5588473187394277e-05,-0.002324125656182416
809,74,Current_position_8.0,-0.002490130348987854,0.025203145951376103,0.007168133291970956,-0.007828261016127562,-9.918778847875032e-05,-0.006551403818093666,-0.0026034370519330448,0.026958816600632204,-0.019369753549734917,-0.016134986341343877,0.011249713369310722,-0.025043009284347693,0.002557962205869926,-0.034563808537923846,-0.006696482079626462,,-0.0003645207295904011,-2.2952138593336402e-05,-0.00109733081799735
810,74,Current_position_9.0,-0.010056080894622333,0.01221483739260766,-0.001230101458861062,-0.026095295325571786,-0.00046800372168171855,-0.0076597933596024735,0.004057543918237003,0.0498049840064394,-0.03819348341369565,-8.194609982676538e-06,-0.014788628994831632,-0.03886322078227546,0.0008451328502587985,-0.045438408122721805,-0.006691998879508757,,0.0011186260153044207,-7.305881872064373e-05,0.0009882602382484326
811,74,Current_position_10.0,-0.006349949541691287,-0.01036640627226237,0.007240235560155547,0.006428785251881735,0.0008175741685554495,0.01812888807120134,-0.01816730798764667,-0.028636812141560098,0.0306741232126086,-0.027972835878775356,-0.00836876382171021,0.04235615359632107,0.005514927110630347,0.026000152992730487,-0.006698739480051966,,8.188767177020916e-05,-1.3892675716467628e-05,-6.93578207058859e-05
812,74,Current_position_11.0,-0.008908203404654187,0.0017678571867106281,0.0012940926926108718,-0.02819811908717184,-4.20067488759014e-05,-0.013952725543651609,0.0052911995896249,0.0048822187290850335,-0.0343313184253652,0.011364448340805555,0.0058241530214549865,-0.01945385750896483,-0.004495197953166493,-0.0059991254038858155,0.001673024425435163,,0.0008789534544502936,-7.967607001890928e-05,0.00040728537241893316
813,74,Current_position_12.0,-0.0021579292833238044,-0.09537265955140528,-0.023415713100869158,-0.02584757754812394,0.0011176137711790325,0.023695032724863122,-0.017628930827406467,-0.030131932409223582,0.12633287755333564,0.051002114621146774,0.004924096731773758,-0.011308345325720892,-0.009933677475822019,0.028323034856957606,0.04229399494760676,,0.001101663311040941,-6.45384807000654e-05,0.00109615816906166
814,75,Current_position_2.0,0.023601390861101218,0.04653366312678667,0.0003349052201161515,0.07783144545679654,-0.0009443021164540562,-0.0061376602758561665,-0.014695382456342436,0.00942501011363121,0.02055528909859143,-0.020900021945898472,-0.028387869384376804,-0.0035891774952410958,-0.0024345084843956856,0.014414715893089809,0.001503872395917191,,0.020896849026293737,0.07337171646738254,-0.005555616535108914
815,75,Current_position_3.0,0.02474913251384278,0.0026660255469043333,-0.0011066711569326427,0.03175502383843746,-0.00783665678917707,0.017364657631607015,-0.022647613728043123,-0.02788860400841758,-0.0423579638657858,0.008297328508217183,0.028125523827472285,-0.0056159156606735375,-0.011694642572171782,0.015171709023391974,-0.0040724680915015425,,0.0015633234581729667,0.01914568296177804,0.005897477512871126
816,75,Current_position_4.0,0.01672267944358239,0.0296847035123131,-0.0005512997999361138,-0.007829224399597474,0.0030133034764566733,0.024752876268283198,-0.021330030299461147,-0.12543196295549994,-0.03559690524965103,0.038642090118936184,0.0003967763961583942,-0.001816432149770393,0.00914969122529156,0.015211900388757763,-0.004083360239451083,,-0.00104510202693799,0.004707956215537209,0.004149739381687777
817,75,Current_position_5.0,0.015829257687844024,0.058355392442820814,0.0005096578100914775,0.041999940051897305,-0.0004982633207726731,-0.0068832036611855005,-0.020486988904523728,-0.00907484782382502,-0.05918206989716048,-0.04370785618772666,-0.1333283441451927,-0.005614352945039027,-0.011698658422402931,0.01515890834544242,-0.004083319899725539,,0.026781490273162883,0.055910612029794235,-0.024744294553475717
818,75,Current_position_6.0,0.0094877480460132,0.03320534864430703,-7.529841475276862e-05,0.04546139889698988,-0.0015795482310259465,-0.010733525603667629,-0.015165371112040697,0.04800359265170512,0.024293648337881973,0.011021697075037269,0.03116356807728886,-0.0046516704536917995,-0.006409129203779391,0.015174940688682113,-0.004076458517383401,,0.01434478800220501,0.04317646470362513,-0.007138602677981307
819,75,Current_position_7.0,0.010788439299068748,0.009066169533209916,-0.00042425834990295834,0.025303493589553368,-0.0014050284994871817,-0.013223338712025608,-0.012763037864384858,-0.04125666883073904,0.018265769957507016,-0.03427340825099353,0.01938031846445573,3.531815119492391e-05,0.019264984956754626,0.015191537529882539,-0.004075835698223408,,0.008780346580358572,0.00867377548631382,-0.012576789180537907
820,75,Current_position_8.0,0.014225465930238173,0.0057765179948216444,-0.0007722467529673008,-0.01896121047553276,0.000699746172705971,-0.027313816576811242,-0.0026103518883962055,0.0514456901984169,-0.022749928001394817,-0.02091167247546955,-0.018826759549448475,0.0023667571679616573,-0.005736731916426893,-0.016127674876857685,-0.004079876899697262,,-0.0007749691595413865,-0.011240475754605884,-0.0037338527501786056
821,75,Current_position_9.0,0.0030039049773281945,0.0018935250882961302,0.00015714197140046508,-0.012378257254878792,-0.00021535680789268183,-0.02830785211316292,0.00043989629632607664,0.06331570316160283,0.0057668839085187355,0.008629695954583256,0.008725702585481642,0.003403136870289584,-0.002074013346255458,-0.018072680705527738,-0.004080762840659598,,-0.0070353575104765784,-0.01399607847410818,0.0068185867713348785
822,75,Current_position_10.0,0.0035982431120972114,-0.014141361844635934,-0.0015451168032990005,0.010953471566392375,0.003117884321921899,0.016331619399427892,-0.017026713334033425,-0.06052952183283578,-0.022437702253412257,-0.039708807620576374,-0.013093834364728224,-0.003934414248512112,-0.007079770511310303,0.011333366658752994,-0.004080889718779541,,0.0002922259004685719,-0.0030239583287336594,-0.0019511839456538037
823,75,Current_position_11.0,0.0032777739615253436,-0.01687944636113494,-0.0008707662098081364,-0.026365360757441943,-0.0030276668537786277,-0.04575910677980927,0.0019092177048935976,0.005429058783418073,-0.011138062172012884,0.023996547415586975,0.030125596568501358,0.0018754364182428825,0.00717646249877798,-0.0022312160218014515,-8.44713369664574e-05,,-0.004089285456539831,-0.01571213107006178,0.0004597367463302932
824,75,Current_position_12.0,0.007207010421750517,-0.09034602808214029,0.01167587947125962,-0.004432192694214122,0.0016539417926484377,0.03461180911872178,-0.018059573566423483,-0.03429109665836158,0.1281475688041864,0.040378786034158974,-0.0007229956653331029,0.00014169820068807626,0.007721659683364318,0.011152062829931052,0.03495981474469454,,-0.008101959789517499,-0.015298753770698831,0.008231169855247317
825,76,Current_position_2.0,0.010347719097807483,0.015317024251705641,0.0002009283732679683,0.09365823365191224,0.0014811786407318834,0.015176213368279574,-0.02017083022474501,0.04775635589948261,0.10143701528904006,0.010373773258282171,0.014493670455425281,0.01778336822568661,-0.0035459924667401513,0.0251491087971507,0.017950612615509634,,-0.006288465608111752,-0.006413479489702646,-0.00017519140455245558
826,76,Current_position_3.0,0.008136095323952779,0.0072974695474423415,-0.0031028473588955922,0.07134465811257854,-0.0085282947594307,0.030914074781222108,-0.028266558479621222,-0.04725532703097513,-0.00912254828489161,-0.007873091301343825,0.06693060603947813,0.03297915946087938,-0.006440235922301159,0.032338442166152025,-0.004766743482127126,,-0.003321746286987011,-0.0038598715769328404,0.00019473169576795298
827,76,Current_position_4.0,0.012287723779529173,0.018715421668970448,-0.0017024340173747274,-0.02863562181061311,0.005398231450137971,0.06343102616710483,-0.023932532121994678,-0.13891157253949024,0.01941832562134291,0.03794886173046052,0.003571488101228606,0.015169283252324469,0.0020557297309607824,0.03236630648753902,-0.0047578121835875915,,0.0015435914359366455,-0.00016631659597953657,0.0011025805228238377
828,76,Current_position_5.0,0.0015183508719739435,0.01453021623726475,-0.007786693224150891,0.05019098922420794,-0.004257278637746929,0.033664688734531434,-0.020178760743637014,0.036483476343041894,0.07904464424116721,0.06031811184204196,-0.030298728704240722,0.03295222893015268,-0.006429695247599581,0.03233857418999066,-0.004747471889306687,,-0.00710822667869167,-0.004269909605393715,-0.0020119768728380813
829,76,Current_position_6.0,0.00458977050375521,0.0180635825309932,-0.0037128278647314064,0.05385790895069563,-0.00646452530804114,-0.004485830877106931,-0.012829488310434845,0.03734596536525658,-0.014960494282220326,0.03915437476431311,0.023681683050262494,0.029398987373103,-0.004739748270822034,0.03231606593130578,-0.004760742864657578,,-0.004834841648916987,-0.0030700581674136767,-0.0012675069179612756
