,Age,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Job_satisfaction
55,28.0,2.0,26.153846153846153,38.0,126.66666666666666,2.0,36.84210526315789,36.84210526315789,4.333333333333333,4.166666666666667,3.0
59,34.0,3.0,25.10192307692308,50.0,125.0,1.0,0.0,50.0,3.3333333333333335,3.1666666666666665,2.2
260,47.0,4.0,38.46153846153846,55.0,152.77777777777777,5.0,0.0,72.72727272727273,2.5,2.0,3.8
261,35.0,4.0,23.076923076923077,20.0,100.0,2.0,75.0,20.0,3.0873015873015874,3.3333333333333335,3.2
262,50.0,4.0,35.76923076923077,20.0,100.0,3.0,29.064486830154408,14.532243415077204,2.6666666666666665,3.8333333333333335,3.0
263,51.0,4.0,20.769230769230766,20.0,100.0,2.0,56.25,31.25,2.1666666666666665,2.1666666666666665,2.4
264,37.0,4.0,32.11730769230769,45.0,112.5,3.0,11.11111111111111,66.66666666666666,2.6666666666666665,3.5,3.2
265,43.0,4.0,31.153846153846153,40.0,100.0,4.0,12.5,12.5,3.8333333333333335,1.8333333333333333,3.4
266,40.0,4.0,28.846153846153847,40.0,100.0,2.0,27.500000000000004,20.0,3.0,2.0,3.4
267,44.0,4.0,28.846153846153847,62.0,155.0,2.0,9.67741935483871,35.483870967741936,3.3333333333333335,2.3333333333333335,2.6
268,41.0,4.0,32.30769230769231,60.0,150.0,1.0,13.333333333333334,75.0,4.333333333333333,3.5,3.6
269,44.0,4.0,28.846153846153847,50.0,125.0,1.0,26.07561929595828,34.76749239461104,3.0,4.666666666666667,4.4
270,54.0,4.0,28.744038461538462,75.0,187.5,1.0,27.27272727272727,36.36363636363637,2.6666666666666665,2.1666666666666665,2.6
271,49.0,4.0,28.846153846153847,40.0,100.0,2.0,50.0,25.0,3.5,3.3333333333333335,4.4
272,33.0,4.0,34.61538461538461,60.0,150.0,2.0,16.666666666666664,50.0,2.1666666666666665,3.0,2.4
273,59.0,4.0,58.10769230769231,50.0,125.0,4.0,20.0,10.0,4.333333333333333,2.8333333333333335,4.2
274,63.0,4.0,30.288461538461537,47.5,118.75,2.0,73.68421052631578,21.052631578947366,2.5,1.8333333333333333,1.8
275,58.0,4.0,45.0,40.0,100.0,2.0,37.5,12.5,5.0,5.0,4.8
276,46.0,4.0,34.61538461538461,55.0,137.5,4.0,27.27272727272727,36.36363636363637,4.166666666666667,4.0,4.8
277,36.0,4.0,37.5,40.0,100.0,2.0,25.0,37.5,4.666666666666667,2.6666666666666665,4.0
278,35.0,4.0,38.46346153846154,45.0,112.5,4.0,11.11111111111111,22.22222222222222,3.5,3.1666666666666665,4.8
279,46.0,4.0,28.846153846153847,50.0,125.0,2.0,10.81081081081081,27.027027027027028,3.6666666666666665,4.5,4.6
280,40.0,4.0,34.61538461538461,50.0,125.0,2.0,20.0,40.0,3.6666666666666665,3.6666666666666665,3.6
281,56.0,5.0,34.61538461538461,50.0,125.0,5.0,30.0,20.0,4.333333333333333,4.333333333333333,4.4
282,47.0,5.0,21.923076923076923,40.0,100.0,3.0,37.5,37.5,3.3333333333333335,3.3333333333333335,3.6
283,46.0,5.0,31.730769230769234,40.0,100.0,2.0,37.5,20.0,3.6666666666666665,3.5,4.4
284,44.0,5.0,38.36538461538461,55.0,137.5,3.0,27.27272727272727,27.27272727272727,4.333333333333333,4.166666666666667,3.4
285,54.0,5.0,37.5,50.0,125.0,2.0,32.0,16.0,3.5,2.1666666666666665,2.6
286,53.0,5.0,40.38461538461539,40.0,100.0,2.0,37.5,25.0,3.5,3.3333333333333335,4.0
287,48.0,5.0,37.5,55.0,137.5,4.0,27.27272727272727,18.181818181818183,3.1666666666666665,2.5,4.2
288,49.0,5.0,37.5,40.0,100.0,4.0,11.11111111111111,27.77777777777778,3.6666666666666665,3.8333333333333335,4.0
289,44.0,5.0,34.61538461538461,40.0,100.0,2.0,25.0,50.0,3.3333333333333335,4.333333333333333,3.2
290,47.0,5.0,20.76923076923077,40.0,133.33333333333331,2.0,33.33333333333333,13.333333333333334,3.3333333333333335,1.8333333333333333,2.8
291,45.0,5.0,51.92307692307693,65.0,162.5,2.0,24.0,40.0,2.6666666666666665,1.6666666666666667,2.6
292,38.0,5.0,33.46153846153847,40.0,100.0,4.0,50.0,37.5,2.8333333333333335,3.3333333333333335,3.0
293,52.0,5.0,34.61538461538461,50.0,125.0,4.0,30.0,15.0,3.1666666666666665,3.3333333333333335,2.8
294,51.0,5.0,37.5,45.0,112.5,3.0,37.5,37.5,3.3333333333333335,2.3333333333333335,4.2
295,43.0,5.0,31.153846153846153,60.0,150.0,3.0,26.666666666666668,33.33333333333333,3.6666666666666665,3.1666666666666665,3.6
296,68.0,5.0,23.076923076923077,40.0,100.0,3.0,20.0,25.0,4.333333333333333,3.6666666666666665,4.6
297,38.0,5.0,28.846153846153847,40.0,100.0,2.0,50.0,20.0,2.5,2.3333333333333335,2.8
298,43.0,5.0,31.993269230769233,60.0,150.0,3.0,26.666666666666668,16.666666666666664,2.8333333333333335,2.5,2.6
299,52.0,5.0,18.46153846153846,50.0,125.0,3.0,30.0,20.0,3.6666666666666665,3.5,4.257142857142857
300,49.0,5.0,25.961538461538463,55.0,137.5,4.0,27.27272727272727,9.090909090909092,3.1666666666666665,4.0,3.2
301,45.0,5.0,26.538461538461537,60.0,150.0,1.0,50.0,8.333333333333332,2.6666666666666665,1.1666666666666667,1.8
302,45.0,5.0,40.879120879120876,35.0,100.0,2.0,34.285714285714285,37.142857142857146,3.0,3.1666666666666665,4.0
303,54.0,5.0,28.846153846153847,40.0,100.0,3.0,21.688613477924086,32.53292021688613,3.6666666666666665,3.6666666666666665,4.2
304,53.0,5.0,46.15384615384615,40.0,100.0,2.0,37.5,37.5,2.6666666666666665,4.666666666666667,4.2
305,39.0,5.0,33.17307692307692,50.0,125.0,3.0,30.0,30.0,4.166666666666667,4.166666666666667,4.2
306,43.0,5.0,44.05594405594405,60.0,109.09090909090908,1.0,1.785714285714286,8.928571428571429,3.0,3.3333333333333335,3.0
307,46.0,5.0,41.09134615384615,32.0,100.0,2.0,30.0,40.0,4.166666666666667,3.5,4.6
308,57.0,5.0,38.38269230769231,40.0,100.0,2.0,37.5,12.5,3.1666666666666665,3.8333333333333335,3.6
309,60.0,6.0,43.26923076923077,50.0,125.0,4.0,54.966627404789946,21.47624656458579,2.6666666666666665,4.166666666666667,4.8
310,58.0,6.0,57.69230769230769,50.0,125.0,2.0,30.0,40.0,2.6666666666666665,3.0,3.0
311,56.0,6.0,20.192307692307693,50.0,125.0,4.0,74.65618860510806,5.599214145383104,3.6346491228070175,4.458333333333333,4.6
312,53.0,6.0,43.84615384615385,40.0,100.0,1.0,62.5,12.5,2.1666666666666665,3.3333333333333335,2.0
313,61.0,6.0,41.53846153846153,40.0,100.0,3.0,36.84210526315789,10.526315789473683,4.368421052631579,4.166666666666667,4.4
314,65.0,6.0,31.730769230769234,60.0,150.0,2.0,7.894736842105263,26.31578947368421,2.0,1.3333333333333333,1.0
315,62.0,6.0,40.38461538461539,45.0,112.5,2.0,25.53191489361702,31.914893617021278,3.6666666666666665,3.1666666666666665,3.6
316,67.0,6.0,23.076923076923077,46.0,115.0,2.0,32.05128205128205,29.48717948717949,2.5,4.166666666666667,4.2
317,55.0,6.0,56.53846153846153,50.0,125.0,5.0,64.0,10.0,3.6666666666666665,2.8333333333333335,3.0
318,56.0,6.0,40.38461538461539,40.0,100.0,2.0,75.0,10.0,3.1666666666666665,2.0,2.2
319,66.0,6.0,40.38461538461539,60.0,150.0,3.0,23.227383863080682,38.712306438467806,3.5,2.8333333333333335,4.0
320,62.0,6.0,50.19230769230769,45.0,112.5,3.0,20.0,26.666666666666668,4.166666666666667,5.0,4.8
321,62.0,6.0,50.76923076923077,40.0,100.0,3.0,25.0,37.5,3.0,2.6666666666666665,3.4
322,45.0,6.0,40.38461538461539,40.0,100.0,2.0,33.33333333333333,22.22222222222222,3.5,3.1666666666666665,3.2
323,61.0,6.0,23.076923076923077,40.0,100.0,3.0,25.0,20.0,3.8333333333333335,3.0,4.0
324,51.0,6.0,51.92307692307693,55.0,137.5,4.0,24.107142857142858,8.928571428571429,4.5,4.166666666666667,4.8
325,61.0,6.0,23.076923076923077,40.0,100.0,3.0,40.0,55.55555555555556,4.666666666666667,5.0,4.4
326,65.0,6.0,38.45769230769231,60.0,150.0,3.0,24.193548387096776,56.451612903225815,4.141228070175439,4.833333333333333,4.6
327,53.0,6.0,37.5,55.0,137.5,2.0,27.27272727272727,54.54545454545454,3.8333333333333335,4.5,3.6
328,56.0,6.0,40.38461538461539,60.0,150.0,4.0,27.27272727272727,27.27272727272727,3.8333333333333335,3.8333333333333335,4.2
333,47.0,6.0,41.53846153846153,50.0,125.0,4.0,50.0,10.0,3.3333333333333335,3.1666666666666665,3.0
334,51.0,6.0,35.964035964035965,38.5,100.0,2.0,51.94805194805194,22.07792207792208,2.5,2.8333333333333335,2.4
335,48.0,6.0,46.73076923076923,50.0,125.0,3.0,30.0,10.0,3.1666666666666665,4.5,4.4
336,42.0,6.0,24.615384615384617,35.0,116.66666666666669,2.0,66.66666666666666,16.666666666666664,1.5,2.3333333333333335,3.0
337,40.0,6.0,45.57692307692308,47.0,117.5,5.0,17.02127659574468,12.76595744680851,3.1666666666666665,3.6666666666666665,2.8
338,45.0,6.0,23.076923076923077,50.0,125.0,1.0,50.0,20.0,2.1666666666666665,1.6666666666666667,2.2
339,55.0,6.0,38.46153846153846,43.0,110.25641025641026,3.0,51.28205128205128,25.64102564102564,3.8333333333333335,4.166666666666667,2.4
340,58.0,6.0,28.846153846153847,40.0,100.0,2.0,50.0,0.0,3.0,2.5,2.4
341,49.0,6.0,32.30769230769231,40.0,100.0,2.0,40.0,20.0,2.8333333333333335,2.3333333333333335,3.8
